DATA INICIAL;DATA FINAL;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA
2023-11-05;2023-11-11;BAHIA;SALVADOR;GASOLINA COMUM;18;R$/l;5.47;0.27648115679980706;5.27;5.99;0.05
2023-11-05;2023-11-11;MARANHAO;SAO LUIS;GASOLINA COMUM;20;R$/l;4.99;0.06801509120466537;4.86;5.09;0.014
2023-11-05;2023-11-11;SAO PAULO;SAO PAULO;GASOLINA COMUM;179;R$/l;5.58;0.580555254900183;4.69;7.59;0.104
2023-11-05;2023-11-11;PIAUI;TERESINA;GASOLINA COMUM;24;R$/l;5.38;0.07642368553102453;5.29;5.59;0.014
2023-11-05;2023-11-11;ESPIRITO SANTO;VITORIA;GASOLINA COMUM;12;R$/l;5.65;0.0852936105461599;5.49;5.79;0.015
2023-11-05;2023-11-11;SERGIPE;ARACAJU;GLP;9;R$/13kg;96.61;4.279440513795128;88.0;103.0;0.044
2023-11-05;2023-11-11;PARA;BELEM;GLP;33;R$/13kg;103.05;8.220307079717186;89.99;120.0;0.08
2023-11-05;2023-11-11;MINAS GERAIS;BELO HORIZONTE;GLP;31;R$/13kg;102.47;11.793134598397238;84.99;129.0;0.115
2023-11-05;2023-11-11;RORAIMA;BOA VISTA;GLP;29;R$/13kg;130.48;5.7047642348627745;120.0;144.0;0.044
2023-11-05;2023-11-11;DISTRITO FEDERAL;BRASILIA;GLP;48;R$/13kg;94.53;5.3468222774197445;84.99;119.99;0.057
2023-11-05;2023-11-11;MATO GROSSO DO SUL;CAMPO GRANDE;GLP;23;R$/13kg;105.07;10.436127789611755;88.0;135.0;0.099
2023-11-05;2023-11-11;MATO GROSSO;CUIABA;GLP;34;R$/13kg;113.49;12.557253796333251;87.0;135.0;0.111
2023-11-05;2023-11-11;PARANA;CURITIBA;GLP;45;R$/13kg;92.63;5.093283138734105;80.9;100.0;0.055
2023-11-05;2023-11-11;SANTA CATARINA;FLORIANOPOLIS;GLP;8;R$/13kg;116.5;4.9856938190329;110.0;125.0;0.043
2023-11-05;2023-11-11;CEARA;FORTALEZA;GLP;29;R$/13kg;97.49;6.2122514223098015;89.9;111.0;0.064
2023-11-05;2023-11-11;GOIAS;GOIANIA;GLP;40;R$/13kg;102.07;9.53915391614463;80.0;130.0;0.093
2023-11-05;2023-11-11;PARAIBA;JOAO PESSOA;GLP;32;R$/13kg;102.31;9.641108807199412;79.99;110.0;0.094
2023-11-05;2023-11-11;AMAPA;MACAPA;GLP;1;R$/13kg;110.0;0.0;110.0;110.0;0.0
2023-11-05;2023-11-11;ALAGOAS;MACEIO;GLP;33;R$/13kg;95.08;7.790540531972287;85.0;115.0;0.082
2023-11-05;2023-11-11;AMAZONAS;MANAUS;GLP;84;R$/13kg;124.16;6.185057976177322;115.0;145.0;0.05
2023-11-05;2023-11-11;RIO GRANDE DO NORTE;NATAL;GLP;16;R$/13kg;101.0;11.893976066339913;85.0;128.0;0.118
2023-11-05;2023-11-11;TOCANTINS;PALMAS;GLP;18;R$/13kg;121.05;4.916625124450621;110.0;127.0;0.041
2023-11-05;2023-11-11;RIO GRANDE DO SUL;PORTO ALEGRE;GLP;19;R$/13kg;106.87;4.680555772467762;99.9;119.9;0.044
2023-11-05;2023-11-11;RONDONIA;PORTO VELHO;GLP;2;R$/13kg;122.5;3.5355339059327378;120.0;125.0;0.029
2023-11-05;2023-11-11;PERNAMBUCO;RECIFE;GLP;19;R$/13kg;83.67;5.422278334720682;76.99;100.0;0.065
2023-11-05;2023-11-11;ACRE;RIO BRANCO;GLP;22;R$/13kg;116.54;6.208498574168681;105.0;127.0;0.053
2023-11-05;2023-11-11;RIO DE JANEIRO;RIO DE JANEIRO;GLP;38;R$/13kg;95.0;7.03064442453052;83.5;117.0;0.074
2023-11-05;2023-11-11;BAHIA;SALVADOR;GLP;33;R$/13kg;105.02;8.213276507268489;89.99;121.99;0.078
2023-11-05;2023-11-11;MARANHAO;SAO LUIS;GLP;35;R$/13kg;95.11;3.4533094101677224;85.0;105.0;0.036
2023-11-05;2023-11-11;SAO PAULO;SAO PAULO;GLP;59;R$/13kg;105.29;8.20925825509057;89.9;120.0;0.078
2023-11-05;2023-11-11;PIAUI;TERESINA;GLP;33;R$/13kg;96.48;5.842895161102616;84.99;115.0;0.061
2023-11-05;2023-11-11;ESPIRITO SANTO;VITORIA;GLP;9;R$/13kg;98.32;8.292066154530552;85.0;110.0;0.084
2023-11-05;2023-11-11;SERGIPE;ARACAJU;GNV;3;R$/m³;4.95;0.0;4.95;4.95;0.0
2023-11-05;2023-11-11;MINAS GERAIS;BELO HORIZONTE;GNV;6;R$/m³;4.91;0.17962924780409972;4.55;4.99;0.037
2023-11-05;2023-11-11;DISTRITO FEDERAL;BRASILIA;GNV;1;R$/m³;6.69;0.0;6.69;6.69;0.0
2023-11-05;2023-11-11;MATO GROSSO DO SUL;CAMPO GRANDE;GNV;1;R$/m³;4.24;0.0;4.24;4.24;0.0
2023-11-05;2023-11-11;PARANA;CURITIBA;GNV;3;R$/m³;4.94;0.08660254037844387;4.84;4.99;0.018
2023-11-05;2023-11-11;SANTA CATARINA;FLORIANOPOLIS;GNV;2;R$/m³;4.99;0.0;4.99;4.99;0.0
2023-11-05;2023-11-11;CEARA;FORTALEZA;GNV;6;R$/m³;4.99;0.0;4.99;4.99;0.0
